1
1000 100000
73 355 1
525 475 2
36 787 2
95 393 2
336 985 1
327 902 1
117 854 2
615 35 2
899 121 2
954 824 1
586 569 1
889 223 2
935 676 2
468 764 2
423 601 1
983 232 1
731 545 2
876 219 2
362 925 2
630 366 1
363 375 2
487 630 2
129 448 2
645 801 2
601 326 1
165 116 2
678 426 1
709 665 1
15 600 2
745 165 2
688 639 2
11 759 2
663 15 2
666 781 2
355 63 2
212 614 2
128 791 1
604 808 1
223 362 1
23 858 1
773 537 1
251 789 1
974 423 1
952 869 2
862 884 2
831 167 1
148 69 2
858 10 2
643 441 2
367 154 2
180 478 1
113 472 2
437 856 1
901 556 1
869 9 1
800 518 1
917 390 1
867 558 2
935 621 2
196 271 2
429 38 2
365 882 2
113 383 2
185 181 1
192 702 2
264 448 1
393 936 2
83 1000 2
199 110 1
786 688 1
753 541 2
794 922 2
704 234 2
99 18 1
584 309 1
655 778 2
833 861 1
318 636 2
747 214 1
726 351 2
395 503 2
72 421 1
811 786 1
785 184 2
836 881 1
333 623 2
251 534 2
325 757 1
719 386 2
164 312 2
733 601 1
85 994 2
477 435 1
486 170 2
400 936 2
404 730 2
667 860 1
542 696 1
504 546 1
405 320 1
612 753 1
819 866 1
865 550 1
909 60 2
62 175 2
439 153 1
332 51 1
544 744 1
592 522 1
99 150 1
881 45 1
709 357 1
429 304 2
370 293 2
64 72 1
459 372 2
782 294 2
970 258 2
212 699 1
860 649 2
792 496 2
909 655 2
359 759 1
805 726 2
729 97 1
79 336 2
292 984 2
993 672 2
595 706 1
588 350 1
450 91 1
815 434 2
833 979 1
78 669 1
161 207 1
398 721 1
942 130 2
40 135 2
353 212 1
964 37 1
413 575 1
828 428 2
85 839 2
357 97 1
666 929 2
933 441 2
760 967 2
118 489 2
665 312 1
942 59 2
293 336 2
148 936 1
911 868 2
687 140 1
678 12 1
227 460 1
774 32 2
27 401 1
181 111 2
763 363 2
509 464 2
148 988 2
987 911 1
849 721 1
384 114 1
65 7 2
349 626 1
477 708 1
513 133 2
535 500 1
849 448 2
17 482 1
630 868 1
225 822 2
909 877 2
445 701 1
422 751 2
436 286 2
767 848 1
867 214 2
787 583 2
216 815 2
209 126 1
601 39 1
367 779 1
916 102 1
515 756 1
18 190 2
289 773 1
124 825 2
906 415 1
307 161 1
549 545 2
415 745 2
211 585 1
801 583 2
947 277 1
599 460 2
42 655 1
385 626 1
778 671 2
677 111 1
582 761 2
780 362 1
351 221 2
135 31 2
66 665 2
302 485 2
471 558 1
601 569 1
222 162 1
335 532 1
813 711 1
4 633 2
850 293 2
199 940 1
357 971 1
441 531 2
980 626 2
323 852 2
548 137 2
12 912 2
391 888 1
10 561 1
405 939 2
314 229 2
624 397 2
417 982 2
548 998 2
497 655 2
27 18 2
298 911 2
322 347 1
795 10 1
227 59 1
489 21 2
357 319 2
574 55 2
988 600 1
955 712 2
817 579 2
262 924 1
67 173 1
73 429 1
81 249 1
91 268 2
506 192 1
142 198 1
15 69 1
506 849 2
387 182 2
824 759 1
964 371 1
33 382 2
398 824 2
721 754 1
571 931 1
782 154 2
941 674 2
356 262 1
85 485 2
933 760 2
199 608 2
748 134 2
784 634 1
682 321 1
868 239 1
313 313 1
890 495 1
72 444 1
403 909 2
464 539 1
134 707 2
465 12 2
55 378 2
349 389 1
210 105 2
18 541 2
899 432 1
117 167 2
457 974 2
747 173 2
697 614 2
373 455 2
113 387 2
656 144 1
419 177 1
932 291 1
670 27 2
468 942 2
39 719 1
221 789 2
255 525 2
788 9 1
587 373 2
497 651 1
313 469 2
680 260 1
611 494 2
708 559 1
265 653 2
317 90 2
717 396 2
547 244 2
91 791 2
957 723 1
397 372 2
567 668 2
69 309 1
133 564 2
679 964 2
13 862 1
456 223 1
821 763 2
969 824 1
58 355 1
504 519 2
231 851 1
6 146 2
133 372 2
877 305 2
139 277 1
515 579 2
141 264 1
79 924 2
686 928 2
957 274 1
70 631 1
792 280 2
558 3 2
901 638 2
625 101 2
45 778 1
750 147 2
644 446 1
422 350 1
516 883 2
58 374 2
815 990 2
805 16 2
840 239 2
202 372 2
42 199 1
182 375 1
381 894 2
885 111 2
71 553 2
594 816 1
353 514 2
451 629 2
159 688 2
303 402 2
495 299 1
182 896 1
497 210 2
96 327 2
991 906 2
739 353 1
968 83 2
160 812 1
586 837 1
857 545 2
265 469 2
620 118 2
715 362 2
800 57 2
157 801 2
604 99 1
493 349 2
370 756 1
661 54 1
343 605 2
977 335 2
722 872 2
276 604 1
366 699 2
905 998 2
271 297 1
785 452 1
629 946 1
839 43 1
543 499 2
111 998 2
725 444 2
276 226 1
89 304 2
918 756 1
247 965 2
734 162 1
361 421 2
971 486 1
605 854 1
687 565 2
448 372 2
192 60 2
492 455 1
94 518 1
632 345 2
697 71 2
342 22 2
102 714 2
185 555 2
116 267 1
89 677 2
707 496 1
439 633 2
768 640 1
840 28 1
646 278 2
885 139 2
944 191 2
84 135 1
882 967 1
826 981 1
694 785 1
482 919 1
807 708 1
792 383 2
149 339 1
371 478 1
81 262 2
317 335 1
730 535 2
96 404 1
431 159 2
374 42 2
506 466 2
377 991 1
630 786 2
874 166 2
104 20 2
366 930 2
5 227 1
951 812 1
306 971 1
166 379 2
982 267 2
775 911 1
214 629 2
31 73 2
560 319 1
291 795 2
998 323 2
50 630 1
715 292 2
769 843 1
119 367 1
134 154 2
771 155 2
798 131 1
93 542 2
947 45 1
142 584 1
349 196 2
867 33 1
38 383 1
939 30 1
938 844 1
992 956 1
841 457 1
871 348 2
106 462 2
734 916 1
401 589 2
894 796 2
251 859 2
871 476 2
923 379 2
776 499 1
776 826 2
660 985 1
431 420 2
137 220 2
641 686 1
11 737 1
119 80 2
548 11 2
228 860 1
206 233 2
77 281 2
931 29 2
738 942 2
20 635 1
138 376 1
273 934 1
715 482 2
906 927 2
27 15 1
121 344 1
867 149 2
133 224 2
793 144 2
835 94 2
387 139 2
238 156 2
823 668 1
841 999 2
978 395 1
36 670 1
801 190 2
252 976 1
849 870 2
851 976 2
13 553 1
27 403 1
434 67 2
195 876 1
413 117 1
448 624 2
214 296 1
795 957 2
942 908 2
812 715 1
173 308 1
440 688 2
35 832 1
988 452 1
159 360 1
603 88 1
844 4 2
137 860 1
853 92 2
560 397 2
764 318 1
228 307 1
986 504 2
698 552 2
363 749 2
676 161 2
311 830 1
808 640 2
709 887 2
848 354 2
332 938 2
992 243 1
910 945 2
865 869 2
252 507 2
362 639 1
647 106 2
515 651 2
37 558 2
697 509 1
202 179 1
37 307 1
291 311 2
271 782 1
461 264 2
274 70 1
379 80 2
745 90 1
880 472 2
111 586 1
761 550 1
82 693 2
934 50 1
284 55 2
291 224 1
522 994 1
247 865 1
776 176 2
637 201 1
211 793 2
420 605 2
844 447 2
283 283 1
910 950 1
303 899 1
714 432 1
643 434 1
345 966 1
601 393 2
181 221 1
877 681 2
525 428 1
584 352 2
360 766 1
847 514 1
548 564 1
600 841 2
329 768 1
390 884 1
320 786 2
101 532 1
104 431 2
118 101 1
166 233 1
414 605 1
526 340 2
83 654 2
993 214 2
79 458 1
102 220 2
807 351 2
26 754 1
275 70 1
616 701 2
404 55 1
378 942 2
550 337 2
197 815 1
123 617 2
517 202 1
861 341 2
672 750 1
635 226 1
700 369 1
407 613 2
54 602 1
215 468 2
963 470 2
378 902 2
182 228 1
96 405 2
125 378 1
535 992 2
432 839 2
712 288 2
765 843 2
760 84 2
882 104 1
596 867 1
882 680 2
443 164 1
472 431 1
406 353 1
188 184 1
287 55 2
693 943 1
634 620 2
719 162 1
679 497 2
177 864 2
68 496 2
204 53 1
76 749 1
173 69 2
463 293 1
536 744 1
219 314 1
258 54 2
811 663 1
245 997 2
711 150 2
819 216 2
449 534 2
907 162 1
908 242 1
232 142 1
453 657 1
46 136 2
99 99 1
569 875 2
161 927 2
443 778 2
873 315 2
677 69 1
874 496 2
397 166 2
295 66 2
662 736 2
230 244 1
96 554 2
248 400 1
933 342 1
857 863 1
299 124 1
900 310 1
761 403 2
41 767 1
595 696 2
58 591 1
837 893 2
86 435 1
933 534 1
264 285 1
726 380 2
151 197 1
966 389 2
955 71 1
676 775 2
563 560 2
751 779 1
92 11 1
65 230 1
851 342 1
867 567 1
315 581 1
437 99 1
765 820 1
529 137 1
388 17 1
491 49 1
24 644 2
514 542 2
322 936 2
853 296 2
39 216 1
208 686 2
571 486 1
975 519 2
34 156 1
441 377 2
902 578 1
236 330 1
646 384 1
826 740 1
823 965 1
508 434 1
438 826 2
944 289 1
716 101 2
568 899 1
763 291 1
486 642 1
291 948 2
255 648 1
49 206 1
870 67 1
508 288 1
906 768 2
45 900 1
981 411 1
298 864 2
749 776 2
725 209 2
284 7 1
461 20 1
416 813 1
436 32 2
496 927 1
704 119 2
551 47 2
414 320 2
410 991 2
191 468 1
767 432 2
237 145 1
421 513 2
744 749 2
913 124 2
283 35 1
514 843 2
500 587 1
535 908 2
480 724 1
325 637 1
476 897 1
444 703 2
920 947 1
582 429 1
364 830 1
270 991 2
969 10 1
521 751 1
722 974 2
810 396 2
923 719 1
101 319 2
857 920 1
768 764 2
144 707 2
248 209 2
62 592 2
561 906 1
720 235 2
966 409 2
897 749 2
805 552 1
926 142 1
53 902 2
907 576 1
420 932 2
929 699 1
644 256 1
701 914 1
343 839 2
246 371 1
595 523 1
396 458 1
932 795 2
321 89 2
925 145 2
769 479 1
635 175 2
147 926 1
787 738 2
340 247 2
126 354 1
217 445 2
322 597 2
967 4 1
90 115 2
390 905 1
522 962 2
790 578 2
875 159 2
69 581 2
468 829 1
116 618 1
3 842 1
890 360 1
202 407 2
827 72 1
173 509 2
46 214 2
516 323 1
650 152 1
28 996 1
25 356 1
727 171 1
718 67 1
887 99 1
157 43 1
167 976 1
204 405 1
649 598 2
268 178 1
732 662 1
242 920 2
172 40 2
538 17 2
492 396 2
942 984 1
392 513 1
236 620 2
980 804 1
850 168 2
372 807 1
912 681 1
133 572 1
865 751 2
711 876 1
412 718 2
724 178 1
94 498 2
998 627 1
519 248 1
641 874 2
63 460 1
15 24 1
909 131 1
837 950 2
530 48 1
127 91 1
66 822 1
774 274 1
126 780 1
766 253 1
526 199 2
707 617 2
695 253 1
633 504 1
662 341 1
450 959 1
151 259 1
227 9 1
505 325 2
857 328 1
562 893 2
201 710 2
267 233 2
1 666 2
512 79 2
983 248 2
334 358 1
31 37 1
720 604 1
821 104 1
886 399 2
371 872 2
776 964 2
38 291 1
952 793 1
978 866 1
903 675 1
869 863 1
284 140 2
906 513 2
934 767 2
311 80 2
936 902 2
194 110 1
40 704 1
360 309 2
84 117 2
182 845 2
154 308 1
402 127 1
324 513 2
934 471 2
818 783 1
334 810 2
370 684 2
911 744 1
84 660 1
204 485 2
517 393 1
483 101 2
511 501 1
460 418 2
771 218 1
368 48 2
893 450 2
615 911 2
318 135 1
824 208 1
847 284 2
704 605 2
85 343 1
544 649 1
120 184 1
109 753 1
377 142 1
872 295 1
474 648 2
233 642 1
714 592 1
986 529 1
442 84 2
499 890 1
733 961 1
553 710 2
937 583 1
837 861 1
244 388 1
795 20 2
153 435 1
207 147 1
859 584 1
363 780 2
709 652 2
80 138 1
887 19 2
363 474 2
55 149 1
710 848 2
817 31 1
744 654 1
113 212 1
613 135 1
733 264 1
725 500 2
385 772 1
72 978 1
313 367 1
490 563 1
225 425 2
686 542 2
786 104 2
317 593 2
676 164 2
871 49 2
809 381 2
962 276 1
636 487 1
865 72 1
958 592 2
982 921 2
123 861 1
577 262 1
672 772 2
681 154 1
420 848 1
484 765 1
64 487 1
332 554 2
941 935 1
726 970 2
270 458 2
569 122 1
119 702 1
205 184 2
9 402 1
519 494 2
914 145 1
780 7 2
49 173 2
695 167 2
982 24 2
844 69 2
168 967 1
471 605 1
848 124 1
386 182 2
467 681 1
702 682 1
624 651 2
33 398 1
622 111 1
620 653 1
490 175 2
754 975 1
465 523 1
886 321 2
875 941 1
511 785 1
909 530 1
931 593 1
760 172 2
390 461 2
33 599 1
515 282 1
530 479 1
438 176 2
262 791 1
828 557 1
758 212 2
629 897 1
906 50 2
864 387 2
179 553 2
323 681 1
728 533 2
325 969 1
602 870 2
2 409 1
639 657 2
396 693 1
320 637 2
817 953 1
790 765 2
160 350 1
494 547 2
683 426 1
172 491 1
574 156 2
168 684 2
5 160 2
649 653 2
474 349 2
332 605 2
112 701 2
286 121 2
166 87 1
498 864 2
879 600 1
112 370 1
137 144 2
590 688 1
967 154 1
427 82 1
912 731 1
485 421 1
86 453 2
906 617 2
593 967 1
296 561 1
413 748 2
348 799 2
656 4 1
220 565 1
948 38 1
40 41 1
473 255 1
480 797 1
723 814 1
175 609 2
851 446 1
96 833 1
997 71 1
346 780 1
523 101 1
417 962 1
651 797 2
415 744 1
293 17 2
217 898 2
855 731 1
191 601 2
899 392 1
498 861 1
826 669 2
956 46 1
818 27 1
928 497 2
962 700 1
311 725 2
851 671 1
366 597 2
924 761 2
889 606 2
843 58 2
59 509 2
607 56 1
389 107 2
244 461 2
997 298 1
957 867 2
199 827 1
211 520 1
884 456 1
963 989 1
395 558 2
847 601 2
106 782 1
20 400 2
916 107 2
45 524 1
266 308 2
767 244 1
848 831 1
332 56 1
637 16 2
725 918 1
262 171 1
313 642 1
4 457 2
642 537 2
621 664 1
336 328 1
666 654 1
555 980 2
661 507 1
52 35 2
863 632 2
537 720 2
311 15 1
197 621 1
470 660 2
525 2 2
586 874 2
552 720 1
647 924 2
602 135 2
315 350 2
696 681 1
230 886 1
885 892 1
933 700 2
885 313 1
69 443 2
46 55 2
564 335 2
700 588 2
652 319 2
497 324 2
423 897 1
307 804 2
129 566 2
963 973 2
213 113 2
40 704 1
236 848 2
400 320 1
973 489 2
739 5 1
474 778 2
179 839 2
47 607 2
716 278 2
889 171 2
547 578 1
172 801 2
693 91 2
175 140 1
263 336 2
475 264 1
934 172 1
237 420 2
514 732 2
888 925 2
142 27 2
98 123 2
154 164 1
322 580 1
778 179 2
38 528 2
398 606 2
261 580 1
89 535 2
91 788 2
767 81 1
158 799 1
352 568 2
955 417 2
799 726 1
48 883 1
908 746 2
456 540 1
764 226 1
173 312 2
500 303 2
744 282 1
701 243 2
726 177 2
964 284 1
604 661 1
651 679 1
373 215 1
767 908 2
813 132 1
996 703 2
943 423 1
518 849 1
416 953 1
960 376 2
960 369 1
545 201 2
407 331 1
800 186 2
762 736 1
923 681 1
791 922 2
359 725 2
885 28 2
374 255 2
602 615 1
522 767 2
588 469 1
855 547 1
597 829 2
132 401 1
380 425 2
803 631 1
194 269 1
150 482 2
48 171 1
160 895 1
796 926 2
895 952 2
336 452 2
926 246 2
538 583 1
651 158 1
757 240 2
756 474 2
941 227 1
817 153 2
106 260 2
377 982 2
358 784 1
294 220 1
389 356 2
539 646 2
979 285 2
948 998 2
344 92 1
935 271 1
510 822 2
916 189 2
214 884 2
240 930 1
233 510 2
455 805 2
117 868 2
269 6 2
930 978 1
167 356 2
398 892 2
940 265 1
260 953 2
14 763 2
471 57 2
399 504 2
463 385 1
893 538 2
894 26 1
416 738 2
834 170 1
155 428 2
784 442 2
538 522 1
79 346 2
624 145 2
759 95 1
297 231 2
28 7 1
132 513 1
975 945 2
279 517 2
212 86 2
9 96 2
641 690 2
473 515 2
991 716 1
495 641 1
237 341 1
670 468 2
909 775 2
782 186 1
832 387 1
316 848 1
102 261 1
602 83 2
703 548 1
713 630 1
44 713 1
310 948 1
545 644 2
133 679 2
822 730 1
705 186 2
673 562 1
428 136 2
508 725 2
688 681 1
559 116 2
582 507 2
140 924 2
450 497 1
172 585 1
897 412 1
384 294 2
243 373 2
713 183 2
676 37 2
975 804 2
820 153 2
798 243 2
629 192 2
189 569 2
777 463 2
975 152 1
715 691 2
39 957 2
174 52 1
728 952 1
12 175 2
310 510 2
204 280 2
579 5 1
639 415 2
921 193 1
152 501 1
77 783 2
806 982 1
417 757 2
217 946 1
838 940 1
528 747 1
773 311 1
12 912 2
971 139 2
990 860 2
349 261 2
671 359 1
648 760 1
168 975 2
995 467 2
43 867 1
212 424 1
373 909 1
237 600 2
604 652 1
347 817 2
942 778 2
310 67 2
760 513 1
283 398 2
6 322 1
713 901 1
192 890 2
523 759 2
781 480 2
509 433 2
974 126 1
925 524 1
997 412 1
587 180 1
712 751 2
782 776 1
434 873 1
365 838 1
273 54 2
387 793 2
340 323 2
519 848 1
582 600 1
373 392 2
772 653 2
672 367 1
745 569 2
203 968 2
775 266 2
862 64 1
690 326 1
172 592 2
606 556 1
474 679 2
805 201 1
720 855 1
776 22 2
877 789 1
327 416 2
134 207 2
592 668 1
16 134 2
113 187 2
430 205 2
770 347 2
83 254 1
110 989 2
391 777 1
237 467 2
476 372 1
452 300 1
618 359 2
790 543 2
312 409 1
3 331 2
697 627 2
293 33 2
19 834 2
273 277 1
664 102 1
269 274 1
261 361 2
585 780 2
226 780 1
73 197 1
779 781 2
280 653 2
509 569 2
476 258 2
837 248 2
338 729 1
111 297 1
10 138 2
44 816 1
781 898 1
180 351 1
484 195 2
799 110 2
656 979 1
193 214 2
636 695 1
973 795 2
640 301 2
461 79 1
50 307 1
74 724 2
96 206 2
498 638 1
316 27 2
740 299 2
719 182 2
313 802 2
632 624 1
362 875 1
320 45 1
750 358 1
429 705 2
389 748 1
663 215 2
747 7 1
430 915 1
351 481 1
625 275 1
519 50 2
174 206 1
484 173 1
917 818 2
597 708 2
322 597 1
621 944 2
145 636 1
384 370 2
659 847 2
994 174 2
628 507 1
682 514 1
509 249 2
488 453 1
638 341 1
422 474 1
585 350 2
522 94 1
242 642 1
937 364 2
788 308 1
760 40 1
310 571 2
809 638 2
718 422 2
662 41 2
306 247 2
468 954 2
156 763 1
514 963 2
895 617 1
449 928 2
518 358 1
949 745 1
831 433 1
471 122 2
967 254 2
715 384 2
493 875 1
61 304 1
971 60 2
261 72 1
707 215 1
199 107 2
242 558 1
901 198 2
605 972 2
380 336 1
291 395 2
252 535 1
591 214 2
511 913 1
526 50 1
704 753 2
854 15 2
21 540 2
375 296 2
507 164 1
202 793 2
822 33 1
543 550 2
474 288 2
73 706 2
479 380 1
634 655 2
333 134 2
